GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0100000US,,United States,53482,95
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",30750,14345
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",21283,6579
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",31591,13372
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",71343,4420
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",52740,16818
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",-,**
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",29115,5546
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",45700,6427
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",20705,3245
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",32782,4223
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",20515,5652
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",14000,4383
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",35848,6544
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",34848,11769
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",44817,12181
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",63031,7969
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",62110,6632
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",57842,9181
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",71198,11824
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",82250,10388
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",55859,5746
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",30298,13343
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",45337,11027
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",25299,5084
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",18966,1722
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",36131,6503
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",51012,7808
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",34732,4846
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",32627,4984
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",54345,4394
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",55000,10730
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",31006,6173
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",54817,7825
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",38857,4318
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",67438,10907
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",70250,21795
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",63287,8138
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",75658,15532
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",88364,13167
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",69622,7022
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",62216,6862
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",99293,11687
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",72886,8506
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",108661,10739
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",89643,10965
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",64257,14690
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",100136,4912
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",70000,8423
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",80893,9785
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",52931,4816
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",60919,9461
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",89590,12707
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",92212,11617
