,ZipCode,Discharges_2012-2014,Dicharge_Rate
0,10001.0,159.0,21.9
1,10002.0,592.0,23.9
2,10003.0,130.0,7.7
6,10007.0,14.0,2.9
7,10009.0,534.0,28.3
8,10010.0,43.0,4.4
9,10011.0,127.0,8.1
10,10012.0,31.0,4.4
11,10013.0,42.0,4.8
12,10014.0,32.0,3.3
13,10016.0,173.0,10.2
14,10017.0,30.0,6.0
15,10018.0,23.0,12.2
16,10019.0,105.0,8.1
17,10021.0,88.0,6.5
18,10022.0,40.0,3.9
19,10023.0,141.0,6.6
20,10024.0,166.0,9.3
21,10025.0,578.0,20.2
22,10026.0,407.0,38.6
23,10027.0,648.0,35.4
24,10028.0,72.0,5.1
25,10029.0,1409.0,60.5
26,10030.0,530.0,66.1
27,10031.0,471.0,27.2
28,10032.0,430.0,24.1
29,10033.0,336.0,20.7
30,10034.0,316.0,26.5
31,10035.0,673.0,62.2
32,10036.0,109.0,13.4
33,10037.0,337.0,59.5
34,10038.0,113.0,16.2
35,10039.0,449.0,56.8
36,10040.0,233.0,18.8
37,10044.0,53.0,13.1
39,10065.0,37.0,4.1
40,10075.0,36.0,4.1
41,10128.0,153.0,8.4
42,10280.0,13.0,7.2
43,11004.0,50.0,12.6
44,11005.0,13.0,15.1
45,11101.0,228.0,26.7
46,11102.0,257.0,24.0
47,11103.0,100.0,8.9
48,11104.0,108.0,12.8
49,11105.0,155.0,14.2
50,11106.0,248.0,20.6
52,11354.0,218.0,12.5
53,11355.0,252.0,9.7
54,11356.0,92.0,12.4
55,11357.0,91.0,7.5
56,11358.0,97.0,8.4
58,11360.0,63.0,11.0
59,11361.0,92.0,10.4
60,11362.0,36.0,6.4
61,11363.0,20.0,9.2
62,11364.0,86.0,8.0
63,11365.0,133.0,10.3
64,11366.0,36.0,8.4
65,11367.0,210.0,16.6
66,11368.0,623.0,18.0
67,11369.0,191.0,16.5
68,11370.0,147.0,16.3
69,11372.0,262.0,12.8
70,11373.0,363.0,11.5
71,11374.0,167.0,12.4
72,11375.0,221.0,10.5
73,11377.0,361.0,13.2
74,11378.0,125.0,11.8
75,11379.0,154.0,14.1
76,11385.0,601.0,19.9
77,11411.0,109.0,19.9
78,11412.0,275.0,26.0
79,11413.0,259.0,21.9
80,11414.0,127.0,15.9
81,11415.0,93.0,15.6
82,11416.0,180.0,23.5
83,11417.0,169.0,19.0
84,11418.0,217.0,19.6
85,11419.0,250.0,17.7
86,11420.0,264.0,19.0
87,11421.0,214.0,17.6
88,11422.0,194.0,20.2
89,11423.0,167.0,18.8
90,11426.0,65.0,11.3
91,11427.0,148.0,21.3
92,11428.0,103.0,17.7
93,11429.0,168.0,22.1
95,11432.0,345.0,18.0
96,11433.0,324.0,31.3
97,11434.0,511.0,28.0
98,11435.0,320.0,19.5
99,11436.0,153.0,27.5
100,11691.0,558.0,29.8
101,11692.0,158.0,26.2
102,11693.0,94.0,24.8
103,11694.0,91.0,14.3
104,11697.0,13.0,10.5
105,11201.0,275.0,16.7
106,11203.0,825.0,34.9
107,11204.0,177.0,7.2
108,11205.0,374.0,28.4
109,11206.0,942.0,35.5
110,11207.0,1441.0,48.8
111,11208.0,1209.0,40.7
112,11209.0,244.0,11.6
113,11210.0,417.0,21.1
114,11211.0,431.0,15.0
115,11212.0,1567.0,59.5
116,11213.0,852.0,43.7
117,11214.0,241.0,8.8
118,11215.0,280.0,14.0
119,11216.0,658.0,39.2
120,11217.0,270.0,25.0
121,11218.0,272.0,11.7
122,11219.0,195.0,6.9
123,11220.0,611.0,19.7
124,11221.0,1571.0,62.5
125,11222.0,69.0,6.0
126,11223.0,376.0,15.5
127,11224.0,555.0,37.8
128,11225.0,548.0,30.7
129,11226.0,1112.0,35.9
130,11228.0,106.0,8.3
131,11229.0,317.0,13.1
132,11230.0,293.0,11.7
133,11231.0,234.0,22.4
134,11232.0,169.0,18.9
135,11233.0,1046.0,49.6
136,11234.0,508.0,18.9
137,11235.0,354.0,14.1
138,11236.0,810.0,28.0
139,11237.0,657.0,41.9
140,11238.0,473.0,30.3
141,11239.0,226.0,54.6
143,11251.0,0.0,0.0
144,10451.0,1125.0,77.1
145,10452.0,1312.0,56.1
146,10453.0,1222.0,50.5
147,10454.0,1075.0,94.8
148,10455.0,1052.0,84.5
149,10456.0,1999.0,74.3
150,10457.0,1644.0,75.8
151,10458.0,1442.0,59.3
152,10459.0,1041.0,69.4
153,10460.0,1088.0,62.5
154,10461.0,493.0,32.9
155,10462.0,966.0,40.4
156,10463.0,582.0,27.6
157,10464.0,49.0,36.9
158,10465.0,370.0,29.2
159,10466.0,1084.0,52.6
160,10467.0,1935.0,65.2
161,10468.0,975.0,42.7
162,10469.0,773.0,38.6
163,10470.0,149.0,33.1
164,10471.0,91.0,12.7
165,10472.0,1119.0,55.7
166,10473.0,997.0,55.1
167,10474.0,255.0,36.6
168,10475.0,369.0,26.2
169,10301.0,367.0,30.2
170,10302.0,168.0,28.8
171,10303.0,281.0,34.8
172,10304.0,399.0,31.3
173,10305.0,216.0,17.2
174,10306.0,259.0,15.5
175,10307.0,44.0,10.2
176,10308.0,75.0,9.0
177,10309.0,95.0,9.2
178,10310.0,212.0,28.3
179,10312.0,206.0,11.7
180,10314.0,317.0,12.3
